month,region,purchase_type,license_year,license_count,license_year_count
2026-01-01,us-east-1,Commercial_Advanced,1,667,667
2026-01-01,eu-west-1,Commercial_Advanced,5,479,2395
2026-01-01,eu-west-1,Commercial_Advanced,1,376,376
2026-01-01,ap-southeast-1,Commercial_Advanced,5,320,1600
2026-01-01,ap-southeast-1,Commercial_Advanced,1,161,161
2026-01-01,us-east-1,Commercial_CBC_Pro,5,66,330
2026-01-01,ap-southeast-1,Commercial_CBC_Pro,3,51,153
2026-01-01,us-east-1,Internal_Promotion,1,46,46
2026-01-01,us-east-1,Commercial_Advanced,2,39,78
2026-01-01,ap-southeast-1,Internal_Promotion,1,30,30
2026-01-01,us-east-1,Commercial_Advanced,3,26,78
2026-01-01,eu-west-1,Commercial_Advanced,3,23,69
2026-01-01,eu-west-1,Commercial_Advanced,2,18,36
2026-01-01,us-east-1,Commercial_Advanced,5,17,85
2026-01-01,ap-southeast-1,Commercial_Advanced,2,16,32
2026-01-01,eu-west-1,Surveillance_IPC,1,13,13
2026-01-01,ap-southeast-1,Commercial_Advanced,3,9,27
2026-01-01,ap-southeast-1,Surveillance_IPC,5,5,25
2026-01-01,ap-southeast-1,Surveillance_IPC,1,4,4
2026-01-01,ap-southeast-1,Commercial_CBC_Pro,5,3,15
2026-01-01,eu-west-1,Commercial_Advanced,4,1,4
2026-01-01,us-east-1,Surveillance_IPC,1,1,1
2025-12-01,us-east-1,Commercial_Advanced,1,3461,3461
2025-12-01,eu-west-1,Commercial_Advanced,1,627,627
2025-12-01,eu-west-1,Commercial_Advanced,5,478,2390
2025-12-01,eu-west-1,Commercial_Advanced,3,424,1272
2025-12-01,ap-southeast-1,Commercial_Advanced,1,411,411
2025-12-01,us-east-1,Commercial_Advanced,5,277,1385
2025-12-01,us-east-1,Commercial_Advanced,3,133,399
2025-12-01,ap-southeast-1,Commercial_Advanced,3,115,345
2025-12-01,ap-southeast-1,Commercial_Advanced,5,97,485
2025-12-01,us-east-1,Commercial_Advanced,2,40,80
2025-12-01,eu-west-1,Surveillance_IPC,1,29,29
2025-12-01,ap-southeast-1,Surveillance_IPC,1,29,29
2025-12-01,ap-southeast-1,Commercial_Advanced,2,24,48
2025-12-01,ap-southeast-1,Commercial_CBC_Pro,3,20,60
2025-12-01,us-east-1,Commercial_CBC_Pro,1,10,10
2025-12-01,ap-southeast-1,Internal_Promotion,1,8,8
2025-12-01,us-east-1,Commercial_CBC_Pro,5,7,35
2025-12-01,eu-west-1,Commercial_Advanced,2,6,12
2025-12-01,eu-west-1,Surveillance_IPC,5,6,30
2025-12-01,ap-southeast-1,Surveillance_IPC,5,5,25
2025-12-01,us-east-1,Commercial_CBC_Pro,3,2,6
2025-12-01,us-east-1,Commercial_Advanced,4,1,4
2025-11-01,ap-southeast-1,Commercial_Advanced,5,10743,53715
2025-11-01,us-east-1,Commercial_Advanced,1,2763,2763
2025-11-01,eu-west-1,Commercial_Advanced,1,1459,1459
2025-11-01,ap-southeast-1,Commercial_Advanced,3,884,2652
2025-11-01,eu-west-1,Commercial_Advanced,5,791,3955
2025-11-01,ap-southeast-1,Commercial_Advanced,1,526,526
2025-11-01,us-east-1,Commercial_Advanced,5,505,2525
2025-11-01,eu-west-1,Commercial_Advanced,3,312,936
2025-11-01,us-east-1,Commercial_Advanced,3,129,387
2025-11-01,us-east-1,Commercial_Advanced,2,70,140
2025-11-01,ap-southeast-1,Internal_Promotion,1,60,60
2025-11-01,us-east-1,Commercial_CBC_Pro,3,34,102
2025-11-01,eu-west-1,Commercial_Advanced,2,14,28
2025-11-01,ap-southeast-1,Surveillance_IPC,1,8,8
2025-11-01,ap-southeast-1,Surveillance_IPC,5,5,25
2025-11-01,ap-southeast-1,Commercial_Advanced,2,4,8
2025-11-01,eu-west-1,Surveillance_IPC,1,3,3
2025-11-01,us-east-1,Surveillance_IPC,1,2,2
2025-11-01,ap-southeast-1,Commercial_CBC_Pro,5,1,5
2025-11-01,us-east-1,Surveillance_IPC,3,1,3
2025-11-01,us-east-1,Commercial_Advanced,4,1,4
2025-10-01,ap-southeast-1,Commercial_Advanced,1,10173,10173
2025-10-01,us-east-1,Commercial_Advanced,3,4486,13458
2025-10-01,us-east-1,Commercial_Advanced,1,1859,1859
2025-10-01,ap-southeast-1,Commercial_Advanced,5,1226,6130
2025-10-01,eu-west-1,Commercial_Advanced,1,478,478
2025-10-01,eu-west-1,Commercial_Advanced,3,468,1404
2025-10-01,eu-west-1,Commercial_Advanced,5,423,2115
2025-10-01,ap-southeast-1,Trial,9,380,3420
2025-10-01,ap-southeast-1,Commercial_Advanced,3,351,1053
2025-10-01,eu-west-1,Trial,9,285,2565
2025-10-01,ap-southeast-1,Trial,1,200,200
2025-10-01,us-east-1,Commercial_Advanced,5,194,970
2025-10-01,us-east-1,Trial,9,190,1710
2025-10-01,us-east-1,Commercial_CBC_Pro,5,175,875
2025-10-01,us-east-1,Commercial_CBC_Pro,1,143,143
2025-10-01,us-east-1,Commercial_Advanced,2,69,138
2025-10-01,ap-southeast-1,Commercial_CBC_Pro,3,53,159
2025-10-01,eu-west-1,Commercial_Advanced,2,33,66
2025-10-01,ap-southeast-1,Commercial_Advanced,2,17,34
2025-10-01,eu-west-1,Surveillance_IPC,1,14,14
2025-10-01,ap-southeast-1,Surveillance_IPC,1,7,7
2025-10-01,ap-southeast-1,Internal_Promotion,1,4,4
2025-10-01,eu-west-1,Surveillance_IPC,5,3,15
2025-10-01,us-east-1,Surveillance_IPC,5,3,15
2025-10-01,us-east-1,Surveillance_IPC,1,2,2
2025-10-01,us-east-1,Commercial_Advanced,4,1,4
2025-09-01,ap-southeast-1,Commercial_Advanced,1,12998,12998
2025-09-01,us-east-1,Commercial_Advanced,1,7730,7730
2025-09-01,ap-southeast-1,Commercial_Advanced,5,1207,6035
2025-09-01,eu-west-1,Commercial_Advanced,5,732,3660
2025-09-01,eu-west-1,Commercial_Advanced,3,579,1737
2025-09-01,ap-southeast-1,Commercial_Advanced,3,489,1467
2025-09-01,eu-west-1,Commercial_Advanced,1,441,441
2025-09-01,us-east-1,Commercial_CBC_Pro,5,405,2025
2025-09-01,us-east-1,Commercial_Advanced,3,277,831
2025-09-01,us-east-1,Commercial_Advanced,5,107,535
2025-09-01,ap-southeast-1,Commercial_CBC_Pro,1,105,105
2025-09-01,us-east-1,Commercial_CBC_Pro,1,66,66
2025-09-01,eu-west-1,Commercial_Advanced,2,56,112
2025-09-01,us-east-1,Commercial_Advanced,2,54,108
2025-09-01,eu-west-1,Surveillance_IPC,5,50,250
2025-09-01,eu-west-1,Commercial_CBC_Pro,1,50,50
2025-09-01,ap-southeast-1,Commercial_Advanced,2,7,14
2025-09-01,ap-southeast-1,Surveillance_IPC,1,5,5
2025-09-01,us-east-1,Surveillance_IPC,5,5,25
2025-09-01,us-east-1,Commercial_CBC_Pro,3,5,15
2025-09-01,us-east-1,Commercial_Advanced,4,3,12
2025-09-01,us-east-1,Surveillance_IPC,1,3,3
2025-09-01,ap-southeast-1,Commercial_CBC_Pro,5,2,10
2025-09-01,eu-west-1,Commercial_CBC_Pro,5,2,10
2025-09-01,eu-west-1,Commercial_Advanced,4,2,8
2025-09-01,eu-west-1,Surveillance_IPC,1,2,2
2025-09-01,ap-southeast-1,Commercial_Advanced,4,1,4
2025-08-01,us-east-1,Commercial_Advanced,1,7056,7056
2025-08-01,ap-southeast-1,Commercial_Advanced,1,973,973
2025-08-01,eu-west-1,Commercial_Advanced,5,446,2230
2025-08-01,eu-west-1,Commercial_Advanced,1,380,380
2025-08-01,eu-west-1,Commercial_Advanced,3,236,708
2025-08-01,us-east-1,Commercial_Advanced,5,105,525
2025-08-01,eu-west-1,Surveillance_IPC,1,57,57
2025-08-01,us-east-1,Commercial_Advanced,3,56,168
2025-08-01,ap-southeast-1,Commercial_Advanced,5,54,270
2025-08-01,ap-southeast-1,Commercial_Advanced,2,45,90
2025-08-01,ap-southeast-1,Commercial_Advanced,3,44,132
2025-08-01,us-east-1,Commercial_Advanced,2,34,68
2025-08-01,us-east-1,Commercial_CBC_Pro,1,31,31
2025-08-01,eu-west-1,Surveillance_IPC,5,19,95
2025-08-01,ap-southeast-1,Commercial_CBC_Pro,3,15,45
2025-08-01,eu-west-1,Commercial_Advanced,2,11,22
2025-08-01,ap-southeast-1,Surveillance_IPC,1,3,3
2025-08-01,eu-west-1,Commercial_CBC_Pro,1,3,3
2025-08-01,us-east-1,Surveillance_IPC,2,1,2
2025-08-01,eu-west-1,Surveillance_IPC,3,1,3
2025-08-01,us-east-1,Commercial_CBC_Pro,5,1,5
2025-08-01,eu-west-1,Commercial_Advanced,4,1,4
2025-07-01,ap-southeast-1,Commercial_Advanced,1,4920,4920
2025-07-01,us-east-1,Commercial_Advanced,1,2527,2527
2025-07-01,eu-west-1,Commercial_Advanced,1,2348,2348
2025-07-01,ap-southeast-1,Commercial_Advanced,3,1423,4269
2025-07-01,eu-west-1,Commercial_Advanced,5,677,3385
2025-07-01,eu-west-1,Commercial_Advanced,3,284,852
2025-07-01,us-east-1,Commercial_CBC_Pro,5,189,945
2025-07-01,ap-southeast-1,Commercial_Advanced,5,151,755
2025-07-01,us-east-1,Commercial_CBC_Pro,1,151,151
2025-07-01,us-east-1,Commercial_Advanced,5,143,715
2025-07-01,ap-southeast-1,Commercial_CBC_Pro,5,129,645
2025-07-01,us-east-1,Commercial_Advanced,3,101,303
2025-07-01,us-east-1,Commercial_Advanced,2,60,120
2025-07-01,us-east-1,Surveillance_IPC,7,30,210
2025-07-01,ap-southeast-1,Commercial_Advanced,2,27,54
2025-07-01,us-east-1,Commercial_Advanced,7,26,182
2025-07-01,eu-west-1,Commercial_CBC_Pro,5,17,85
2025-07-01,eu-west-1,Surveillance_IPC,1,13,13
2025-07-01,ap-southeast-1,Surveillance_IPC,1,13,13
2025-07-01,ap-southeast-1,Commercial_CBC_Pro,3,12,36
2025-07-01,eu-west-1,Commercial_Advanced,2,11,22
2025-07-01,eu-west-1,Surveillance_IPC,3,10,30
2025-07-01,ap-southeast-1,Commercial_Advanced,7,4,28
2025-07-01,eu-west-1,Commercial_Advanced,4,2,8
2025-07-01,us-east-1,Commercial_Advanced,4,1,4
2025-07-01,eu-west-1,Commercial_CBC_Pro,3,1,3
2025-07-01,us-east-1,Surveillance_IPC,1,1,1
2025-06-01,us-east-1,Commercial_Advanced,1,2579,2579
2025-06-01,ap-southeast-1,Commercial_Advanced,1,896,896
2025-06-01,eu-west-1,Commercial_Advanced,1,634,634
2025-06-01,eu-west-1,Commercial_Advanced,5,554,2770
2025-06-01,ap-southeast-1,Commercial_Advanced,3,525,1575
2025-06-01,eu-west-1,Commercial_Advanced,3,229,687
2025-06-01,us-east-1,Commercial_Advanced,3,195,585
2025-06-01,ap-southeast-1,Commercial_Advanced,5,192,960
2025-06-01,us-east-1,Commercial_CBC_Pro,1,77,77
2025-06-01,us-east-1,Internal_Promotion,1,75,75
2025-06-01,us-east-1,Commercial_Advanced,5,73,365
2025-06-01,us-east-1,Commercial_Advanced,2,72,144
2025-06-01,eu-west-1,Internal_Promotion,1,60,60
2025-06-01,ap-southeast-1,Internal_Promotion,1,60,60
2025-06-01,eu-west-1,Surveillance_IPC,1,47,47
2025-06-01,us-east-1,Surveillance_IPC,1,32,32
2025-06-01,ap-southeast-1,Commercial_CBC_Pro,3,21,63
2025-06-01,us-east-1,Commercial_Advanced,4,14,56
2025-06-01,ap-southeast-1,Commercial_CBC_Pro,1,14,14
2025-06-01,eu-west-1,Surveillance_IPC,5,12,60
2025-06-01,ap-southeast-1,Surveillance_IPC,1,6,6
2025-06-01,eu-west-1,Surveillance_IPC,3,2,6
2025-06-01,us-east-1,Surveillance_IPC,5,2,10
2025-06-01,us-east-1,Surveillance_IPC,3,2,6
2025-06-01,ap-southeast-1,Commercial_Advanced,2,1,2
2025-06-01,ap-southeast-1,Commercial_Advanced,4,1,4
2025-06-01,eu-west-1,Commercial_Advanced,2,1,2
2025-05-01,ap-southeast-1,Commercial_Advanced,5,8870,44350
2025-05-01,eu-west-1,Commercial_Advanced,1,2498,2498
2025-05-01,us-east-1,Commercial_Advanced,1,1938,1938
2025-05-01,ap-southeast-1,Commercial_Advanced,1,1532,1532
2025-05-01,eu-west-1,Commercial_Advanced,3,1133,3399
2025-05-01,eu-west-1,Commercial_Advanced,5,738,3690
2025-05-01,ap-southeast-1,Commercial_Advanced,3,317,951
2025-05-01,ap-southeast-1,Commercial_CBC_Pro,1,226,226
2025-05-01,us-east-1,Commercial_Advanced,3,171,513
2025-05-01,us-east-1,Commercial_Advanced,5,146,730
2025-05-01,ap-southeast-1,Commercial_CBC_Pro,3,64,192
2025-05-01,ap-southeast-1,Trial,1,60,60
2025-05-01,ap-southeast-1,Internal_Promotion,1,56,56
2025-05-01,us-east-1,Commercial_CBC_Pro,1,49,49
2025-05-01,ap-southeast-1,Surveillance_IPC,1,40,40
2025-05-01,us-east-1,Internal_Promotion,1,30,30
2025-05-01,us-east-1,Commercial_Advanced,2,29,58
2025-05-01,us-east-1,Commercial_CBC_Pro,5,18,90
2025-05-01,us-east-1,Surveillance_IPC,1,9,9
2025-05-01,eu-west-1,Commercial_Advanced,2,8,16
2025-05-01,eu-west-1,Commercial_Advanced,4,2,8
2025-05-01,ap-southeast-1,Commercial_Advanced,2,2,4
2025-05-01,eu-west-1,Surveillance_IPC,1,1,1
2025-04-01,us-east-1,Surveillance_IPC,5,2010,10050
2025-04-01,us-east-1,Commercial_Advanced,1,1693,1693
2025-04-01,ap-southeast-1,Commercial_Advanced,1,1569,1569
2025-04-01,ap-southeast-1,Commercial_Advanced,5,1226,6130
2025-04-01,us-east-1,Surveillance_IPC,3,1200,3600
2025-04-01,ap-southeast-1,Surveillance_IPC,5,1010,5050
2025-04-01,eu-west-1,Surveillance_IPC,5,980,4900
2025-04-01,eu-west-1,Commercial_Advanced,1,791,791
2025-04-01,ap-southeast-1,Surveillance_IPC,3,701,2103
2025-04-01,eu-west-1,Surveillance_IPC,3,499,1497
2025-04-01,us-east-1,Surveillance_IPC,1,400,400
2025-04-01,eu-west-1,Commercial_Advanced,5,385,1925
2025-04-01,eu-west-1,Commercial_Advanced,3,297,891
2025-04-01,ap-southeast-1,Surveillance_IPC,1,213,213
2025-04-01,eu-west-1,Surveillance_IPC,1,187,187
2025-04-01,ap-southeast-1,Commercial_Advanced,3,171,513
2025-04-01,us-east-1,Commercial_Advanced,3,151,453
2025-04-01,us-east-1,Commercial_Advanced,5,90,450
2025-04-01,ap-southeast-1,Commercial_Advanced,2,64,128
2025-04-01,us-east-1,Commercial_Advanced,2,60,120
2025-04-01,us-east-1,Commercial_CBC_Pro,1,51,51
2025-04-01,ap-southeast-1,Commercial_CBC_Pro,5,13,65
2025-04-01,eu-west-1,Commercial_CBC_Pro,1,6,6
2025-04-01,us-east-1,Commercial_CBC_Pro,5,4,20
2025-04-01,us-east-1,Commercial_CBC_Pro,3,3,9
2025-04-01,eu-west-1,Commercial_Advanced,2,3,6
2025-03-01,ap-southeast-1,Commercial_Advanced,5,2995,14975
2025-03-01,ap-southeast-1,Commercial_Advanced,1,2662,2662
2025-03-01,us-east-1,Commercial_Advanced,1,2069,2069
2025-03-01,eu-west-1,Commercial_Advanced,1,772,772
2025-03-01,eu-west-1,Commercial_Advanced,3,555,1665
2025-03-01,ap-southeast-1,Surveillance_IPC,5,500,2500
2025-03-01,us-east-1,Surveillance_IPC,5,500,2500
2025-03-01,us-east-1,Commercial_CBC_Pro,5,326,1630
2025-03-01,ap-southeast-1,Surveillance_IPC,3,300,900
2025-03-01,us-east-1,Surveillance_IPC,3,300,900
2025-03-01,eu-west-1,Commercial_Advanced,5,220,1100
2025-03-01,us-east-1,Commercial_Advanced,2,121,242
2025-03-01,us-east-1,Commercial_Advanced,5,102,510
2025-03-01,ap-southeast-1,Surveillance_IPC,1,100,100
2025-03-01,us-east-1,Surveillance_IPC,1,100,100
2025-03-01,us-east-1,Commercial_Advanced,3,66,198
2025-03-01,ap-southeast-1,Commercial_Advanced,3,49,147
2025-03-01,us-east-1,Commercial_CBC_Pro,1,16,16
2025-03-01,eu-west-1,Commercial_Advanced,2,15,30
2025-03-01,us-east-1,Commercial_Advanced,4,10,40
2025-03-01,ap-southeast-1,Commercial_Advanced,2,9,18
2025-03-01,ap-southeast-1,Commercial_CBC_Pro,1,6,6
2025-03-01,eu-west-1,Commercial_CBC_Pro,1,1,1
2025-02-01,us-east-1,Commercial_Advanced,1,83923,83923
2025-02-01,eu-west-1,Commercial_Advanced,1,2457,2457
2025-02-01,ap-southeast-1,Commercial_Advanced,1,2432,2432
2025-02-01,ap-southeast-1,Commercial_Advanced,5,2149,10745
2025-02-01,ap-southeast-1,Trial,3,1235,3705
2025-02-01,us-east-1,Trial,3,665,1995
2025-02-01,eu-west-1,Trial,3,248,744
2025-02-01,eu-west-1,Commercial_Advanced,5,248,1240
2025-02-01,ap-southeast-1,Internal_Promotion,1,220,220
2025-02-01,eu-west-1,Commercial_Advanced,3,207,621
2025-02-01,us-east-1,Commercial_CBC_Pro,1,176,176
2025-02-01,us-east-1,Commercial_Advanced,5,118,590
2025-02-01,us-east-1,Commercial_Advanced,3,74,222
2025-02-01,ap-southeast-1,Commercial_CBC_Pro,5,58,290
2025-02-01,ap-southeast-1,Commercial_Advanced,3,53,159
2025-02-01,eu-west-1,Commercial_CBC_Pro,1,50,50
2025-02-01,us-east-1,Commercial_Advanced,2,30,60
2025-02-01,ap-southeast-1,Commercial_CBC_Pro,3,21,63
2025-02-01,eu-west-1,Commercial_Advanced,2,15,30
2025-02-01,us-east-1,Commercial_CBC_Pro,5,11,55
2025-02-01,ap-southeast-1,Commercial_Advanced,2,10,20
2025-02-01,us-east-1,Commercial_Advanced,4,6,24
2025-02-01,us-east-1,Commercial_CBC_Pro,3,3,9
2025-02-01,eu-west-1,Commercial_CBC_Pro,5,2,10
2025-01-01,us-east-1,Commercial_Advanced,1,1573,1573
2025-01-01,ap-southeast-1,Commercial_Advanced,1,1065,1065
2025-01-01,eu-west-1,Commercial_Advanced,1,542,542
2025-01-01,eu-west-1,Commercial_Advanced,5,210,1050
2025-01-01,eu-west-1,Commercial_Advanced,3,166,498
2025-01-01,us-east-1,Commercial_Advanced,5,127,635
2025-01-01,us-east-1,Commercial_CBC_Pro,3,110,330
2025-01-01,us-east-1,Commercial_Advanced,3,109,327
2025-01-01,ap-southeast-1,Commercial_Advanced,5,105,525
2025-01-01,us-east-1,Commercial_CBC_Pro,1,88,88
2025-01-01,us-east-1,Commercial_Advanced,2,66,132
2025-01-01,ap-southeast-1,Commercial_Advanced,3,30,90
2025-01-01,ap-southeast-1,Internal_Promotion,1,30,30
2025-01-01,ap-southeast-1,Commercial_Advanced,2,17,34
2025-01-01,us-east-1,Commercial_CBC_Pro,5,12,60
2025-01-01,eu-west-1,Commercial_CBC_Pro,1,10,10
2025-01-01,ap-southeast-1,Commercial_CBC_Pro,5,9,45
2025-01-01,eu-west-1,Commercial_Advanced,2,2,4
2025-01-01,us-east-1,Commercial_Advanced,4,2,8
2025-01-01,ap-southeast-1,Commercial_CBC_Pro,1,1,1
2024-12-01,ap-southeast-1,Commercial_Advanced,1,2794,2794
2024-12-01,us-east-1,Commercial_Advanced,1,2121,2121
2024-12-01,ap-southeast-1,Commercial_Advanced,3,269,807
2024-12-01,eu-west-1,Commercial_Advanced,1,215,215
2024-12-01,eu-west-1,Commercial_Advanced,5,154,770
2024-12-01,eu-west-1,Commercial_Advanced,3,120,360
2024-12-01,us-east-1,Commercial_Advanced,5,101,505
2024-12-01,us-east-1,Commercial_Advanced,3,76,228
2024-12-01,ap-southeast-1,Commercial_Advanced,5,62,310
2024-12-01,us-east-1,Internal_Promotion,1,60,60
2024-12-01,us-east-1,Commercial_Advanced,2,55,110
2024-12-01,us-east-1,Commercial_CBC_Pro,1,35,35
2024-12-01,ap-southeast-1,Internal_Promotion,1,30,30
2024-12-01,us-east-1,Commercial_CBC_Pro,3,29,87
2024-12-01,eu-west-1,Commercial_Advanced,2,10,20
2024-12-01,eu-west-1,Commercial_CBC_Pro,5,10,50
2024-12-01,us-east-1,Commercial_CBC_Pro,5,8,40
2024-12-01,ap-southeast-1,Commercial_CBC_Pro,1,5,5
2024-12-01,ap-southeast-1,Trial,3,3,9
2024-12-01,ap-southeast-1,Commercial_Advanced,2,3,6
2024-12-01,ap-southeast-1,Commercial_CBC_Pro,3,3,9
2024-12-01,us-east-1,Trial,3,1,3
2024-11-01,eu-west-1,Commercial_Advanced,1,2305,2305
2024-11-01,us-east-1,Commercial_Advanced,1,1794,1794
2024-11-01,ap-southeast-1,Commercial_Advanced,1,1695,1695
2024-11-01,eu-west-1,Commercial_Advanced,5,254,1270
2024-11-01,eu-west-1,Commercial_Advanced,3,187,561
2024-11-01,ap-southeast-1,Commercial_Advanced,3,146,438
2024-11-01,us-east-1,Commercial_CBC_Pro,3,122,366
2024-11-01,us-east-1,Commercial_Advanced,5,97,485
2024-11-01,us-east-1,Commercial_Advanced,2,95,190
2024-11-01,ap-southeast-1,Internal_Promotion,1,75,75
2024-11-01,ap-southeast-1,Commercial_Advanced,5,49,245
2024-11-01,us-east-1,Commercial_Advanced,3,41,123
2024-11-01,us-east-1,Commercial_CBC_Pro,5,30,150
2024-11-01,us-east-1,Internal_Promotion,1,30,30
2024-11-01,eu-west-1,Internal_Promotion,1,30,30
2024-11-01,us-east-1,Commercial_CBC_Pro,1,8,8
2024-11-01,ap-southeast-1,Commercial_CBC_Pro,1,6,6
2024-11-01,eu-west-1,Commercial_Advanced,2,6,12
2024-11-01,ap-southeast-1,Commercial_Advanced,2,2,4
2024-10-01,ap-southeast-1,Commercial_Advanced,5,5005,25025
2024-10-01,us-east-1,Commercial_Advanced,1,1555,1555
2024-10-01,ap-southeast-1,Commercial_Advanced,1,1044,1044
2024-10-01,eu-west-1,Commercial_Advanced,1,629,629
2024-10-01,eu-west-1,Commercial_Advanced,3,548,1644
2024-10-01,us-east-1,Commercial_Advanced,3,422,1266
2024-10-01,ap-southeast-1,Commercial_Advanced,3,373,1119
2024-10-01,us-east-1,Commercial_Advanced,5,149,745
2024-10-01,eu-west-1,Commercial_Advanced,5,78,390
2024-10-01,us-east-1,Commercial_CBC_Pro,1,56,56
2024-10-01,us-east-1,Commercial_Advanced,2,44,88
2024-10-01,eu-west-1,Commercial_CBC_Pro,3,26,78
2024-10-01,ap-southeast-1,Commercial_CBC_Pro,1,16,16
2024-10-01,ap-southeast-1,Commercial_CBC_Pro,3,16,48
2024-10-01,us-east-1,Commercial_CBC_Pro,3,8,24
2024-10-01,ap-southeast-1,Commercial_Advanced,2,5,10
2024-10-01,eu-west-1,Commercial_Advanced,2,4,8
2024-10-01,us-east-1,Commercial_Advanced,4,1,4
2024-09-01,ap-southeast-1,Commercial_Advanced,1,11152,11152
2024-09-01,ap-southeast-1,Commercial_Advanced,5,5031,25155
2024-09-01,us-east-1,Commercial_Advanced,1,1358,1358
2024-09-01,eu-west-1,Commercial_Advanced,1,456,456
2024-09-01,eu-west-1,Commercial_Advanced,3,221,663
2024-09-01,eu-west-1,Commercial_Advanced,5,149,745
2024-09-01,ap-southeast-1,Commercial_Advanced,3,96,288
2024-09-01,us-east-1,Commercial_Advanced,5,62,310
2024-09-01,us-east-1,Commercial_Advanced,2,60,120
2024-09-01,us-east-1,Commercial_CBC_Pro,1,54,54
2024-09-01,us-east-1,Commercial_CBC_Pro,3,30,90
2024-09-01,us-east-1,Commercial_Advanced,3,26,78
2024-09-01,eu-west-1,Commercial_Advanced,2,14,28
2024-09-01,ap-southeast-1,Commercial_CBC_Pro,1,10,10
2024-09-01,ap-southeast-1,Commercial_Advanced,2,7,14
2024-09-01,us-east-1,Commercial_Advanced,4,1,4
2024-08-01,ap-southeast-1,Commercial_Advanced,1,2108,2108
2024-08-01,us-east-1,Commercial_Advanced,1,1167,1167
2024-08-01,eu-west-1,Commercial_Advanced,1,421,421
